3232_0_0,事故状況の詳細をお伺いいたしました,,
3232_3738_0,事故状況の詳細をお伺いいたしました,事故の状況は一致していることを確認いたしました,
3232_6018_0,事故状況の詳細をお伺いいたしました,事故状況に相違点がありました,
3251_0_0,責任割合についてお打合せいたしました,,
3251_3096_4521,責任割合についてお打合せいたしました,自損自弁（各々自己負担とすること）をご提案いたしました,ご了承いただきました
3251_3240_0,責任割合についてお打合せいたしました,責任割合に関する見解が一致いたしました,
3251_3241_0,責任割合についてお打合せいたしました,責任割合に関する見解に相違がございました,
3251_3410_0,責任割合についてお打合せいたしました,ご検討いただき、結果についてご連絡をお願いいたしました,
3251_3547_0,責任割合についてお打合せいたしました,自損自弁（各々自己負担とすること）の申し入れをいただきました,
3251_4160_0,責任割合についてお打合せいたしました,弊社にご一任いただく旨承りました,
3251_4454_0,責任割合についてお打合せいたしました,責任は無いとのご主張（無過失主張）でした,
3251_4521_0,責任割合についてお打合せいたしました,ご了承いただきました,
3251_4522_0,責任割合についてお打合せいたしました,ご了承いただけませんでした,
3294_0_0,休車損害（お車が使えない期間の営業損害）について,,
3343_0_0,経過をご報告するタイミング・方法についてお打合せいたしました,,
3343_3798_0,経過をご報告するタイミング・方法についてお打合せいたしました,状況に進展があり次第、ご報告をする旨承りました,
3374_0_0,担当者の変更をご連絡いたしました,,
3394_0_0,発生状況等の詳細確認（原因確認）についてお打合せいたしました,,
3394_3034_0,発生状況等の詳細確認（原因確認）についてお打合せいたしました,詳細確認を行う旨ご説明いたしました,
3550_0_0,示談交渉を実施いたしました,,
3550_3700_0,示談交渉を実施いたしました,修理費と代車料を賠償することで示談解決いたしました,
3550_3700_3604,示談交渉を実施いたしました,修理費と代車料を賠償することで示談解決いたしました,お支払い先は修理費・代車料とも工場と確認いたしました
3550_3700_3607,示談交渉を実施いたしました,修理費と代車料を賠償することで示談解決いたしました,お支払い先は修理費は工場、代車料は業者と確認いたしました
3550_3705_0,示談交渉を実施いたしました,修理費を賠償することで示談解決いたしました,
3550_3705_3598,示談交渉を実施いたしました,修理費を賠償することで示談解決いたしました,お支払い先はお相手方本人と確認いたしました
3550_4827_0,示談交渉を実施いたしました,ご提示した金額についてご了承いただけませんでした,
3550_4863_0,示談交渉を実施いたしました,賠償額を提示しご回答をお待ちしています,
3553_0_0,示談書・免責証書の取り交わし方法について,,
3553_3756_0,示談書・免責証書の取り交わし方法について,省略することについてご了承いただきました,
3621_4459_4521,お支払い対象外となる理由について,無責または免責の理由についてご説明いたしました,ご了承いただきました
3635_0_0,お支払いについてお打合せいたしました,,
3635_3627_0,お支払いについてお打合せいたしました,お支払い額について,
3635_3627_3589,お支払いについてお打合せいたしました,お支払い額について,お支払い額は以下の金額です
3635_3629_0,お支払いについてお打合せいたしました,お支払い先について,
3635_3629_3180,お支払いについてお打合せいたしました,お支払い先について,お相手方へお支払いすることをお打合せいたしました
3635_3629_3355,お支払いについてお打合せいたしました,お支払い先について,お客様の保険料引落口座へお支払いすることを打合せました
3635_3629_3363,お支払いについてお打合せいたしました,お支払い先について,お客様宛にお支払いすることを打合せました
3635_3629_3631,お支払いについてお打合せいたしました,お支払い先について,お支払い先の確認をお願いいたしました
3635_3629_3712,お支払いについてお打合せいたしました,お支払い先について,修理費は工場へ、代車料は業者へお支払いする旨確認いたしました
3635_3636_0,お支払いについてお打合せいたしました,お支払い日について,
3635_3636_3578,お支払いについてお打合せいたしました,お支払い日について,お支払い（着金）日をご連絡いたしました
3635_3636_3579,お支払いについてお打合せいたしました,お支払い日について,お支払い（着金）予定日をご連絡いたしました
3635_3636_3619,お支払いについてお打合せいたしました,お支払い日について,支払い日未定のため判明後ご連絡いたします
3635_4467_0,お支払いについてお打合せいたしました,ご契約上の自己負担金額（免責金額）について,
3695_0_0,修理の進み具合についてお打合せいたしました,,
3695_3681_0,修理の進み具合についてお打合せいたしました,修理が完了したことを確認いたしました,
3695_3689_0,修理の進み具合についてお打合せいたしました,修理されないことを確認いたしました,
3695_3690_0,修理の進み具合についてお打合せいたしました,修理中であることを確認いたしました,
3695_4446_0,修理の進み具合についてお打合せいたしました,まだ修理にかかられていない旨確認いたしました,
3938_0_0,損害額についてお打合せいたしました,,
3938_3082_0,損害額についてお打合せいたしました,お相手方車両の損害額について確認いたしました,
3938_3207_0,損害額についてお打合せいたしました,概算修理費用が判明いたしました,
3938_3542_0,損害額についてお打合せいたしました,自車両の損害額について確認いたしました,
3938_3542_4289,損害額についてお打合せいたしました,自車両の損害額について確認いたしました,損害額が判明いたしました
3938_3857_0,損害額についてお打合せいたしました,時価額を提示いたしました（全損のため）,
3938_3857_3410,損害額についてお打合せいたしました,時価額を提示いたしました（全損のため）,ご検討いただき、結果についてご連絡をお願いいたしました
